一级菜单名称,二级菜单名称,三级菜单名称,详细商品名称,商品ID,商家,剩余,毛重,净重,单价,成本价,成本单价,报价,报价单价,人物场,利润,利润率,产地,货源,等级,商品说明,售后情况,封面图片,商品图片,视频地址
水果,火龙果,国产火龙果,一级海南国产红心火龙果80#30斤,14487,春雪优选,78,30.0,26.0,185.0,196.0,None,280.0,None,14.0,70.0,0.25,None,None,None,。,±1斤免赔，腐烂变质有售后，其他无售后。,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/bfe11777-676d-4ce3-ab99-ce11f66a2e2f.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/25/51540b10-ef36-4309-8184-308a32be11eb.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/25/a852f41a-2e24-4463-920f-e62611720b21.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/ef33f4ae-52f3-49d0-b72c-b786d311e9af.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/445917fe-b5d9-442f-9077-a8c50a4298e1.mp4
水果,火龙果,进口火龙果,一级越南品牌红心火龙果8-11头/14斤,13408,春雪优选,5,14.0,11.0,99.0,105.2,None,150.2857142857143,None,7.514285714285716,37.571428571428584,0.25000000000000006,None,None,None,。,正负一斤免赔，腐烂变质有售后，其他无售后。,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/fcfc5224-cf64-47a1-90fc-a2d0562bacfb.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/06/a1ffa65a-767a-48e0-ace9-1299c3c60167.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/dd38e38c-97d5-475d-a849-aa8bd206f6b8.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/fd8abc91-642b-4e8a-8f35-c1ce37714f9e.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/03/388061df-7e84-47ca-8044-c66a312679b7.mp4
水果,火龙果,进口火龙果,二级越南红心火龙果9-11头14.5斤,12961,【商家】志保果业,595,14.5,11.5,97.0,103.35,None,147.64285714285714,None,7.382142857142857,36.910714285714285,0.25,None,None,None,二级红心火龙果小箱，有树斑花皮，但是价格合适,腐烂售后，±1斤口感颜色大小不一等问题免赔,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/ee4643b2-711a-415e-84a9-69610211dd61.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/0b3ac87d-a2ef-40e2-bb08-09faa0c5c4a9.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/5bcbf602-2578-4210-a8f9-9e3a231a6961.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/d8ccd1ad-161d-4fc1-9290-8c0c962d9001.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/321c8005-e2d7-4dc2-8617-3862f47b2f49.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/1bd53a54-bbbd-424e-aa1f-25df27cf4fa8.mp4
水果,火龙果,进口火龙果,二级品牌越南红心火龙果8-11头14斤,13293,春雪优选,121,14.0,11.0,87.0,93.2,None,133.14285714285717,None,6.657142857142858,33.285714285714306,0.2500000000000001,None,None,None,。,±一斤免赔，腐烂变质有售后，其他无售后。,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/29/a42e3c42-0a29-4059-a96d-9dac54b0db78.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/29/394bfb0e-b7e5-4bd1-ae7b-d68ff5e35765.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/3028751e-c26c-41b1-a66e-f9ff530139b8.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/260ccc5d-dafa-4a45-927b-b1bdd4a4c084.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/63021260-aab3-40d5-a1de-3242a076e9b2.mp4
水果,火龙果,进口火龙果,一级越南品牌白心火龙果大包中30-33头32斤,13596,春雪优选,23,32.0,28.0,168.0,179.6,None,256.57142857142856,None,12.82857142857143,64.14285714285714,0.25,None,None,None,。,±1斤免赔，腐烂变质有售后，其他无售后。,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/02/2635cf75-54c4-46c4-9203-2781289d8d15.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/02/396dfb02-5c11-449f-bba0-3ff9ffb5a7a9.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/02/5e8eb247-5b1d-40af-969b-0bf48a28cdb7.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/02/0df7454c-65e9-41f3-9616-7db0de447bba.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/02/ac80c76c-24f8-46ba-9d2b-94e1203dc32e.mp4
水果,火龙果,进口火龙果,一级越南进口白心大包大24-27头38斤,11557,春雪优选,79,38.0,33.0,200.0,213.4,None,304.8571428571429,None,15.242857142857146,76.21428571428574,0.25000000000000006,None,None,None,一级大果，最多26个头左右，叶新鲜，颜色红，口感好。自然果轻微树膜，花皮。,正负一斤免赔，腐烂变质有售后，其他无售后。,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/04/20303391-b688-4ffd-bd68-20c547f7c535.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/24/a8833318-f8cf-4aed-98cf-c73b04a56193.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/24/e0e3791b-ea72-40b8-9d2a-0f21925e8465.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/24/ffa0506a-a1d5-4882-9a9e-770b342449bf.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/24/bf10d964-a421-46e4-87de-8ea0648d3c1b.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/04/c2eb294d-1ebb-4d1d-9107-89d454d359e0.mp4
水果,火龙果,进口火龙果,精品进口越南品牌红心火龙果8-11头14.5斤,14180,春雪优选,43,14.5,11.5,105.0,111.35,None,159.07142857142858,None,7.953571428571429,39.76785714285716,0.2500000000000001,None,None,None,。,±1斤免赔，腐烂变质有售后，其他无售后。,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/c005d6b5-3f64-4086-902b-94451aeefbea.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/3607a3cf-4df6-407a-a18c-ab2ec4057bfc.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/0b01b79b-1870-4524-b12a-9f2179fb78fc.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/2cdd070c-cebb-417e-9895-6c3aa3a8e076.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/6b6e4e8f-1608-463a-8b6f-2308e49af15b.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/11/18/4231550a-a1df-4e34-9009-e59e3790dad0.mp4
水果,火龙果,进口火龙果,一级越南白心火龙果27-29头37斤,12909,【商家】志保果业,157,37.0,32.0,197.0,210.1,None,300.14285714285717,None,15.00714285714286,75.0357142857143,0.25000000000000006,None,None,None,一级白心大包大新到货，树熟果有树斑树膜正常，口感不错，有轻微阴阳面，放心下单,腐烂售后，±1斤口感颜色大小差异包装差异等问题免赔,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/980d2fe0-46cd-4820-a3d7-51fafb3e8ba1.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/1808910a-7adb-43a1-b267-81a2e5b02abe.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/7e1f1ec8-f4e3-4bff-8bf1-a06a321d6b41.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/f7bef2d8-e4fa-4e51-81fd-ed74f2fe0eb4.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/3948134f-4668-4c6d-828d-fa4d6f2f2406.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/72547b3c-54ba-46f9-864a-d0aa712b7768.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/20/521c1590-628b-4653-a984-f592af3967c1.mp4
水果,火龙果,进口火龙果,二级越南白心火龙果28-32头37斤,12952,【商家】志保果业,388,37.0,32.0,177.0,190.1,None,271.57142857142856,None,13.57857142857143,67.89285714285714,0.25,None,None,None,白心大包大二级到货，有阴阳面，自然熟果子有树斑，花皮不严重，放心下单,腐烂售后，阴阳面±1斤口感颜色大小差异包装差异等问题免赔,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/5d79f559-4568-4408-bd31-583bf5b13764.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/34a2bb37-3aa5-4aeb-8c6a-0e1260bbb62f.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/b9db2f00-c1ef-471d-97a7-3f4cf3645806.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/3e0c66f9-b359-4678-bb29-72c138c52669.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/1ed9a5d2-0117-4e26-884a-527493f8de08.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/12/20/a461f0a3-153e-48cc-b604-a2c88e6636cb.mp4
水果,火龙果,进口火龙果,一级越南红心火龙果9-11头14.5斤,12960,【商家】志保果业,178,14.5,11.5,107.0,113.35,None,161.92857142857144,None,8.096428571428573,40.482142857142875,0.2500000000000001,None,None,None,一级小箱红心火龙果9-11头新到，硬度口感没问题，季节原因树熟果感觉不干净属于正常现象,腐烂售后，±1斤口感颜色大小不一等问题免赔,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/e024428f-d23d-4e80-8a5e-da5c41ece3cc.jpg,"https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/79f37372-4516-4d69-8afb-44eabe12fbbe.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/5d3066ed-cb2d-4ac8-b048-76cb3ca0c9e9.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/faaafe90-7d4e-4012-9670-8d3aa4bcfaa6.jpg,https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/e3998d36-c443-458e-9fed-34fdc84a469e.jpg",https://hebei-guo-yun.oss-cn-zhangjiakou.aliyuncs.com/universal/2022/10/21/93349f43-f2dc-4f45-8d9f-315d6663f3ca.mp4
